0:0:0:0:0:0:0:1 - - [09/Nov/2016:18:51:47 -0600] "GET /web/assets/css/ie10-viewport-bug-workaround.css HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [09/Nov/2016:18:51:47 -0600] "GET /web/assets/js/ie-emulation-modes-warning.js HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [09/Nov/2016:18:51:47 -0600] "GET /web/assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [09/Nov/2016:18:51:47 -0600] "GET /web/assets/js/ie-emulation-modes-warning.js HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [09/Nov/2016:18:51:47 -0600] "GET /web/assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [09/Nov/2016:18:51:47 -0600] "GET /web/resource/img/calender.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2016:18:52:09 -0600] "GET /web/curvas/1?_=1478739107825 HTTP/1.1" 200 2054
0:0:0:0:0:0:0:1 - - [09/Nov/2016:18:52:09 -0600] "GET /web/curvas/1?_=1478739107824 HTTP/1.1" 200 2054
0:0:0:0:0:0:0:1 - - [09/Nov/2016:18:52:12 -0600] "GET /web/nodos/ByCriteria;id_proveedor=1;col=Cetesi;?_=1478739107826 HTTP/1.1" 200 1575
0:0:0:0:0:0:0:1 - - [09/Nov/2016:18:52:16 -0600] "POST /web/graficas/ HTTP/1.1" 200 919
0:0:0:0:0:0:0:1 - - [09/Nov/2016:18:53:06 -0600] "GET /web/ HTTP/1.1" 200 12895
0:0:0:0:0:0:0:1 - - [09/Nov/2016:18:53:06 -0600] "GET /web/assets/css/ie10-viewport-bug-workaround.css HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [09/Nov/2016:18:53:06 -0600] "GET /web/assets/js/ie-emulation-modes-warning.js HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [09/Nov/2016:18:53:06 -0600] "GET /web/assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [09/Nov/2016:18:53:06 -0600] "GET /web/assets/js/ie-emulation-modes-warning.js HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [09/Nov/2016:18:53:06 -0600] "GET /web/assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [09/Nov/2016:18:53:07 -0600] "GET /web/resource/img/calender.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Nov/2016:18:53:21 -0600] "GET /web/curvas/1?_=1478739186925 HTTP/1.1" 200 2054
0:0:0:0:0:0:0:1 - - [09/Nov/2016:18:53:21 -0600] "GET /web/curvas/1?_=1478739186926 HTTP/1.1" 200 2054
0:0:0:0:0:0:0:1 - - [09/Nov/2016:18:53:22 -0600] "GET /web/nodos/ByCriteria;id_proveedor=1;col=Cetesi;?_=1478739186927 HTTP/1.1" 200 1575
0:0:0:0:0:0:0:1 - - [09/Nov/2016:18:53:26 -0600] "POST /web/graficas/ HTTP/1.1" 200 920
0:0:0:0:0:0:0:1 - - [09/Nov/2016:18:54:39 -0600] "GET /web/ HTTP/1.1" 200 12895
0:0:0:0:0:0:0:1 - - [09/Nov/2016:18:54:39 -0600] "GET /web/assets/js/ie-emulation-modes-warning.js HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [09/Nov/2016:18:54:39 -0600] "GET /web/assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [09/Nov/2016:18:54:39 -0600] "GET /web/assets/css/ie10-viewport-bug-workaround.css HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [09/Nov/2016:18:54:40 -0600] "GET /web/assets/js/ie-emulation-modes-warning.js HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [09/Nov/2016:18:54:40 -0600] "GET /web/assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1000
